i,t,n,b,D
84,1,1,3,290.6
84,1,1,4,156.6
84,1,2,1,245.4
84,1,2,2,211.3
84,1,2,3,206.1
84,1,2,4,231.2
84,2,1,1,277.9
84,2,1,2,199.9
84,2,1,3,200.6
84,2,1,4,228.6
84,2,2,1,246.9
84,2,2,2,111.7
84,2,2,3,154.4
84,2,2,4,236.1
85,1,1,1,0
85,1,1,2,0
85,1,1,3,0
85,1,1,4,0
85,1,2,1,0
85,1,2,2,0
85,1,2,3,0
85,1,2,4,0
85,2,1,1,0
85,2,1,2,0
85,2,1,3,0
85,2,1,4,0
85,2,2,1,0
85,2,2,2,0
85,2,2,3,0
85,2,2,4,0
86,1,1,1,0
86,1,1,2,0
86,1,1,3,0
86,1,1,4,0
86,1,2,1,0
86,1,2,2,0
86,1,2,3,0
86,1,2,4,0
86,2,1,1,0
86,2,1,2,0
86,2,1,3,0
86,2,1,4,0
86,2,2,1,0
86,2,2,2,0
86,2,2,3,0
86,2,2,4,0
87,1,1,1,0
87,1,1,2,0
87,1,1,3,0
87,1,1,4,0
87,1,2,1,0
87,1,2,2,0
87,1,2,3,0
87,1,2,4,0
87,2,1,1,0
87,2,1,2,0
87,2,1,3,0
87,2,1,4,0
87,2,2,1,0
87,2,2,2,0
87,2,2,3,0
87,2,2,4,0
88,1,1,1,237.4
88,1,1,2,254.3
88,1,1,3,289.8
88,1,1,4,240.8
88,1,2,1,277.2
88,1,2,2,179.2
88,1,2,3,299.3
88,1,2,4,270.2
88,2,1,1,272.9
88,2,1,2,256.1
88,2,1,3,221.6
88,2,1,4,135.1
88,2,2,1,170.2
88,2,2,2,193.5
88,2,2,3,261.2
88,2,2,4,206
89,1,1,1,0
89,1,1,2,0
89,1,1,3,0
89,1,1,4,0
89,1,2,1,0
89,1,2,2,0
89,1,2,3,0
89,1,2,4,0
89,2,1,1,0
89,2,1,2,0
89,2,1,3,0
89,2,1,4,0
89,2,2,1,0
89,2,2,2,0
89,2,2,3,0
89,2,2,4,0
90,1,1,1,0
90,1,1,2,0
90,1,1,3,0
90,1,1,4,0
90,1,2,1,0
90,1,2,2,0
90,1,2,3,0
90,1,2,4,0
90,2,1,1,0
90,2,1,2,0
90,2,1,3,0
90,2,1,4,0
90,2,2,1,0
90,2,2,2,0
90,2,2,3,0
90,2,2,4,0
91,1,1,1,0
91,1,1,2,0
91,1,1,3,0
91,1,1,4,0
91,1,2,1,0
91,1,2,2,0
91,1,2,3,0
91,1,2,4,0
91,2,1,1,0
91,2,1,2,0
91,2,1,3,0
91,2,1,4,0
91,2,2,1,0
91,2,2,2,0
91,2,2,3,0
91,2,2,4,0
92,1,1,1,255.4
92,1,1,2,274.3
92,1,1,3,115
92,1,1,4,221.4
92,1,2,1,272.1
92,1,2,2,238.5
92,1,2,3,293.5
92,1,2,4,147.6
92,2,1,1,208.9
92,2,1,2,297.4
92,2,1,3,261.3
92,2,1,4,133.4
92,2,2,1,191.1
92,2,2,2,136
92,2,2,3,237.8
92,2,2,4,197.1
93,1,1,1,0
93,1,1,2,0
93,1,1,3,0
93,1,1,4,0
93,1,2,1,0
93,1,2,2,0
93,1,2,3,0
93,1,2,4,0
93,2,1,1,0
93,2,1,2,0
93,2,1,3,0
93,2,1,4,0
93,2,2,1,0
93,2,2,2,0
93,2,2,3,0
93,2,2,4,0
94,1,1,1,0
94,1,1,2,0
94,1,1,3,0
94,1,1,4,0
94,1,2,1,0
94,1,2,2,0
94,1,2,3,0
94,1,2,4,0
94,2,1,1,0
94,2,1,2,0
94,2,1,3,0
94,2,1,4,0
94,2,2,1,0
94,2,2,2,0
94,2,2,3,0
94,2,2,4,0
95,1,1,1,0
95,1,1,2,0
95,1,1,3,0
95,1,1,4,0
95,1,2,1,0
95,1,2,2,0
95,1,2,3,0
95,1,2,4,0
95,2,1,1,0
95,2,1,2,0
95,2,1,3,0
95,2,1,4,0
95,2,2,1,0
95,2,2,2,0
95,2,2,3,0
95,2,2,4,0
96,1,1,1,157.5
96,1,1,2,145
96,1,1,3,290.6
96,1,1,4,156.6
96,1,2,1,245.4
96,1,2,2,211.3
96,1,2,3,206.1
96,1,2,4,231.2
96,2,1,1,277.9
96,2,1,2,199.9
96,2,1,3,200.6
96,2,1,4,228.6
96,2,2,1,246.9
96,2,2,2,111.7
96,2,2,3,154.4
96,2,2,4,236.1
97,1,1,1,0
97,1,1,2,0
97,1,1,3,0
97,1,1,4,0
97,1,2,1,0
97,1,2,2,0
97,1,2,3,0
97,1,2,4,0
97,2,1,1,0
97,2,1,2,0
97,2,1,3,0
97,2,1,4,0
97,2,2,1,0
97,2,2,2,0
97,2,2,3,0
97,2,2,4,0
98,1,1,1,0
98,1,1,2,0
98,1,1,3,0
98,1,1,4,0
98,1,2,1,0
98,1,2,2,0
98,1,2,3,0
98,1,2,4,0
98,2,1,1,0
98,2,1,2,0
98,2,1,3,0
98,2,1,4,0
98,2,2,1,0
98,2,2,2,0
98,2,2,3,0
98,2,2,4,0
99,1,1,1,0
99,1,1,2,0
99,1,1,3,0
99,1,1,4,0
99,1,2,1,0
99,1,2,2,0
99,1,2,3,0
99,1,2,4,0
99,2,1,1,0
99,2,1,2,0
99,2,1,3,0
99,2,1,4,0
99,2,2,1,0
99,2,2,2,0
99,2,2,3,0
99,2,2,4,0
100,1,1,1,131.8
100,1,1,2,181.9
100,1,1,3,213.4
100,1,1,4,159.3
100,1,2,1,149.7
100,1,2,2,271.5
100,1,2,3,176.4
100,1,2,4,218.1
100,2,1,1,273.2
100,2,1,2,147.2
100,2,1,3,187.3
100,2,1,4,199.7
100,2,2,1,288.8
100,2,2,2,211.9
100,2,2,3,149
100,2,2,4,232.6
